Gender,Stroke,PrelimsTime,FinalsTime,Lane
F,Fly,59.47,57.93,Inside
F,Fly,60.16,59.81,Inside
F,Fly,61.82,61.65,Outside
F,Fly,61.77,61.96,Outside
F,Fly,65.89,65.05,Inside
F,Fly,66.46,66.99,Inside
F,Fly,85.82,86.39,Outside
F,Fly,79.62,89.28999999999999,Outside
M,Fly,50.63,50.9,Inside
M,Fly,51.16,51.65,Inside
M,Fly,53.12,53.58,Outside
M,Fly,53.43,53.2,Inside
M,Fly,55.71,54.37,Outside
M,Fly,55.84,55.11,Outside
F,Breast,65.33,64.82,Inside
F,Breast,69.06,70.63,Inside
F,Breast,73.31,72.63,Outside
F,Breast,74.17,73.87,Outside
F,Breast,75.51,74.58,Inside
F,Breast,75.89,74.72,Inside
F,Breast,83.51,84.51,Outside
F,Breast,87.11,85.72,Outside
M,Breast,57.09,56.47,Inside
M,Breast,58.49,58.53,Inside
M,Breast,60.15,59.62,Outside
M,Breast,59.88,59.73,Outside
M,Breast,61.67,60.87,Inside
M,Breast,61.43,62.54,Inside
M,Breast,64.24,63.63,Outside
M,Breast,64.79,64.47,Outside
F,Back,59.84,59.15,Inside
F,Back,60.64,59.55,Inside
F,Back,67.1,66.3,Outside
F,Back,66.98,66.81,Outside
F,Back,68.17,66.35,Inside
F,Back,68.4,68.36,Inside
F,Back,87.41,88.61,Outside
F,Back,100.7,99.0,Outside
M,Back,51.88,50.41,Inside
M,Back,52.86,52.52,Inside
M,Back,57.33,58.06,Outside
M,Back,58.96,58.14,Outside
M,Back,66.98,64.63,Inside
M,Back,68.44,68.22,Inside
F,Free,54.69,53.43,Inside
F,Free,54.12,53.49,Inside
F,Free,57.92,57.08,Outside
F,Free,57.19,57.57,Outside
F,Free,58.17,58.7,Inside
F,Free,60.25,59.34,Inside
F,Free,64.81,62.59,Outside
F,Free,65.73,64.7,Outside
M,Free,46.59,45.97,Inside
M,Free,46.3,46.12,Inside
M,Free,47.41,47.51,Outside
M,Free,47.56,54.48,Outside
M,Free,47.67,48.18,Inside
M,Free,47.75,48.37,Inside
M,Free,49.62,48.96,Outside
M,Free,51.38,51.24,Outside
F,Fly,62.55,61.06,Inside
F,Fly,61.85,61.91,Inside
F,Fly,75.67,74.25,Outside
F,Fly,75.24,76.82,Outside
F,Fly,89.55,86.39,Inside
F,Fly,90.0,90.55,Inside
M,Fly,51.3,50.14,Inside
M,Fly,52.64,51.18,Inside
M,Fly,55.27,55.48,Outside
M,Fly,56.52,56.49,Outside
M,Fly,57.97,56.97,Inside
M,Fly,58.36,58.57,Inside
M,Fly,63.42,63.59,Outside
M,Fly,67.56,68.34,Outside
F,Breast,65.67,64.33,Inside
F,Breast,73.53999999999999,73.48,Inside
F,Breast,81.09,81.78,Outside
F,Breast,83.57,83.33,Outside
F,Breast,85.13,83.15,Inside
F,Breast,84.12,83.67,Inside
F,Breast,95.71000000000001,97.47,Outside
